ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LOS APOYOS ECONÓMICOS,MONTO BRUTO DE LOS APOYOS ECONÓMICOS,MONTO NETO DE LOS APOYOS ECONÓMICOS,TIPO DE MONEDA DE LOS APOYOS ECONÓMICOS,PERIODICIDAD DE LOS APOYOS ECONÓMICOS
1673125218,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125221,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125224,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125225,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125230,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125231,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125238,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125239,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125257,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125260,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125240,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125242,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125314,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125600,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125601,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125602,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125603,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673125604,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123173,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123176,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123265,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123267,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123342,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123344,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123413,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123415,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123486,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123489,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123572,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123575,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
1673123656,18/01/2023,18/01/2023,AYUDA DESPENSA,1443,1443,PESOS,MENSUAL
